UNIVERSITY NAME,CAMPUS PAPER 1 TRAD (NAME),CAMPUS PAPER 1 TRAD  (URL),CAMPUS PAPER 2 LIBERAL (Name),CAMPUS PAPER 2  liberal (URL),CAMPUS PAPER 3 (Name),CAMPUS PAPER 3 (URL),CAMPUS PAPER 4 (Name),CAMPUS PAPER 4 (URL),CAMPUS PAPER 5 (Name),CAMPUS PAPER 5 (URL),,,,
University of Minnesota Twin Cities,The Minnesota Daily,https://mndaily.com,Minnesota Republic,https://mnrepublic.com,,,,,,,,,,
University of Oregon,The Daily Emerald,https://www.dailyemerald.com,Campus News,https://around.uoregon.edu/news/campus-news,,,,,,,,,,
University of Pennsylvania,The Daily Pennsylvanian,https://www.thedp.com,Penn Today,https://penntoday.upenn.edu,,,Penn Today,https://penntoday.upenn.edu/search?terms=israel,,,,,,
University of Pittsburgh,The Pitt News,https://pittnews.com,University Times,https://www.utimes.pitt.edu,,,University Times,https://www.utimes.pitt.edu/news/faculty-assembly-oks-2,,,,,,
University of Rochester,Campus Times,https://www.campustimes.org,University News,https://www.rochester.edu/communications/work/news/,,,,,,,,,,
University of South Florida,The Oracle,https://www.usforacle.com,USF Newsroom,https://www.usf.edu/news/,The Crow's Newst-USF Petersburg,https://crowsneststpete.com,,,,,,,,
University of Southern California,The Daily Trojan,https://dailytrojan.com,USC Today,https://today.usc.edu/news/,USC Anneberg Media,https://www.uscannenbergmedia.com,,,,,,,,
University of Tampa,The Minaret,https://theminaretonline.org,News and UT Life,https://www.ut.edu/news-and-ut-life,,,,,,,,,,
University of Texas Austin,The Daily Texan,https://thedailytexan.com,UT News,https://news.utexas.edu,,,,,,,,,,
University of Vermont,The Vermont Cynic,https://vtcynic.com,The Water Tower,https://thewatertower.news,UVM Today,https://www.uvm.edu/uvmnews,Center for Community News,https://www.uvm.edu/ccn,,,,,,
University of Washington,The Daily,https://www.dailyuw.com,UW News,https://www.washington.edu/news/,The Ledger-UW Tacoma,https://thetacomaledger.com,UW Magazine,https://magazine.washington.edu,,,,,,
"University of Wisconsin, Madison",The Badger Herald,https://badgerherald.com,Daily Cardinal,https://www.dailycardinal.com,UW-Madison News,https://news.wisc.edu,,,,,,,,
Vanderbilt University,The Vanderbilt Hustler,https://vanderbilthustler.com,News,news.vanderbilt.edu,The Slant,vanderbiltslant.com,,,,,,,,
Vassar College,The Miscellany News,https://miscellanynews.org,Vassar News,https://www.vassar.edu/news/all,,,,,,,,,,
Virginia Polytechnic Institute,The Collegiate Times,https://www.collegiatetimes.com,Virginia Tech News,https://news.vt.edu,,,,,,,,,,
Washington University St. Louis,The Record,https://source.wustl.edu/record/,Student Life,https://www.studlife.com,,,,,,,,,,
Yale University,Yale Daily News,https://yaledailynews.com,News Yale College,https://yalecollege.yale.edu/get-know-yale-college/news,Yale News,https://news.yale.edu,,,,,,,,
Yeshiva University,The Yeshiva University Observer,https://yuobserver.org,,,,,,,,,,,,
