University,Group name,Status,Group type (search/filter by),Link,Link 2,Link 3
Boston University,Students for Reproductive Freedom,Active,Other,https://www.instagram.com/bostonusrf/,,
Bowdoin College,SJP,Active,SJP,https://www.instagram.com/bowdoinsjp/,,
Brandeis University,SJP,Active,SJP,https://www.instagram.com/brandeis_sjp/,https://www.facebook.com/BrandeisSJP/,
Brandeis University,JVP,Inactive,JVP,https://www.facebook.com/JVPBrandeis/,,
Brandeis University,If Not Now,Inactive,Other,https://www.facebook.com/IfNotNow-Brandeis-2200527643514988/,https://www.instagram.com/ifnotnowbrandeis/,
Brandeis University,Brandeis Leftist Union,Active,Other,https://www.instagram.com/brandeisleftistunion/,,
Brown University,SJP,Active,SJP,https://www.instagram.com/brown.sjp/,,
Brown University,Brown Divest,Inactive,Divest,https://www.facebook.com/brownuniversitydivest/,,
Brown University,Brown Jewish Voice for Peace,Inactive,JVP,https://www.facebook.com/BrownJVP/,,
Brown University,Palestine Solidarity Caucus,Active,Other,https://www.instagram.com/brown.psc/,https://www.facebook.com/OnPalestine1,
Brown University,Graduate Labor Organization,Active,Other,https://www.instagram.com/gradlabororg/,https://www.facebook.com/GradLaborOrg/,
Brown University,Brown Jews for Ceasefire Now,Active,JVP,https://www.instagram.com/jewsforceasefirenow/,,
Brown University,Brown Alumni for Palestine,Active,Other,https://www.instagram.com/brownualumni4palestine/,,
Bryn Mawr College,Bi-Co Students for Justice in Palestine,Active,SJP,https://www.instagram.com/sjpbico/,https://www.facebook.com/bicosjp/,
Bryn Mawr College,Bi-Co JVP,Active,JVP,https://www.instagram.com/bicojvp/,,
Butler University,SJP,Active,SJP,https://www.facebook.com/sjpbutler/,,
Butler University,Diversity Program Council,Active,Other,https://www.instagram.com/butler_dpc/,,
CSU Chico,Palestine Solidarity Committee,Inactive,SJP,http://www.csuchico.edu/diversity/resource-guide/asian/clubs-organizations.shtml,,
CSU Chico,Students for Quality Education,Active,Other,https://www.instagram.com/chicostate.sqe/,https://www.facebook.com/chicosqe/,
CSU East Bay,Hayward SJP,Active,SJP,https://www.instagram.com/haywardsjp/,,
CSU Fullerton,SJP,Active,SJP,https://www.instagram.com/sjpcsuf/,,
CSU Long Beach,SJP,Active,SJP,https://www.instagram.com/sjpatcsulb/,,
CSU Long Beach,CSULB Divest,Inactive,Divest,https://www.facebook.com/CSULBDivest/,,
CSU Long Beach,MSA CSULB,Active,Other,https://www.facebook.com/MsaCsulb/,,
CSU Los Angeles,SJP,Active,SJP,https://www.instagram.com/sjpatcsula/,,
CSU Monterey Bay,Monterey Palestine Solidarity (Off-Campus Group),Active,Other,https://www.instagram.com/monterey_palestine_solidarity/,,
CSU Northridge,SJP,Active,SJP,https://www.instagram.com/sjpatcsun/,https://www.facebook.com/csunsjp/,
CSU Sacramento,SJP,Active,SJP,https://www.instagram.com/sjp.csus/,,
CSU San Bernadino,SJP,Active,SJP,https://www.instagram.com/sjp_csusb/,,
CSU San Marcos,SJP,Inactive,SJP,https://www.facebook.com/Students-for-Justice-in-Palestine-CSUSM-137598286332646/,,
CUNY Brooklyn College,SJP,Active,SJP,https://www.facebook.com/BrooklynSJP,https://www.instagram.com/bc_sjp/,
CUNY Brooklyn College,BC Socialists - ISO,Active,Other,https://www.facebook.com/BrooklynCollegeSocialists/,https://www.instagram.com/bcsocialists/,
CUNY City College,SJP,Active,SJP,https://www.facebook.com/citycollegesjp,,
CUNY City College,Undergraduate Student Government,Active,Other,https://www.instagram.com/usgccny/,,
CUNY College of Staten Island,SJP,Active,SJP,https://www.instagram.com/sjp_csi/,,
CUNY Hunter College,SJP,Inactive,SJP,https://www.facebook.com/huntersjp,https://www.instagram.com/sjp_hunter/,
CUNY Hunter College,Palestine Solidarity Alliance at Hunter,Active,SJP,https://www.instagram.com/psahuntercollege/,,
CUNY Hunter College,Macaulay Peace Action,Active,Other,https://www.instagram.com/mhcpeaceaction/,,
CUNY Hunter College,Silberman Social Workers for Palestine,Active,SJP,https://www.instagram.com/ssw4palestine,,
CUNY John Jay College,SJP,Active,SJP,https://www.instagram.com/johnjaysjp/,https://www.facebook.com/JohnJaySJP/,
CUNY Lehman College,SJP,Active,SJP,https://www.instagram.com/sjplehman/,,
