University,Academic Boycotter Name,Auto Increment
CUNY Hostos Community College,Sophia Longsworth,2523
CUNY Hostos Community College,Sandy Figueroa,2524
CUNY Hostos Community College,William Suarez II Gomez,2525
CUNY Hostos Community College,Aaron Botwick,3635
CUNY Hostos Community College,Alexandra L. Mlisom,3636
CUNY Hostos Community College,Humberto Ballesteros,3637
CUNY Hostos Community College,Joan Beckerman ,3638
CUNY Hostos Community College,Juno Morrow,3639
CUNY Hostos Community College,Kristopher Burrell,3640
CUNY Hostos Community College,Lauren Wolf,3641
CUNY Hostos Community College,Bronislaw Czarnocha,4215
CUNY Hostos Community College,Amina H. Tajbhai,4261
CUNY Hostos Community College,Anamaría Flores,4272
CUNY Hostos Community College,Anitta Santiago,4286
CUNY Hostos Community College,Craig Bernardini,4376
CUNY Hunter College,Tanya Agathocleous,257
CUNY Hunter College,Tom Angotti,258
CUNY Hunter College,Jacqueline Brown,259
CUNY Hunter College,Alexander Elinson,260
CUNY Hunter College,Tami Kashia Gold,261
CUNY Hunter College,Rupal Oza,263
CUNY Hunter College,Sonali Perera,264
CUNY Hunter College,Jillian Schwedler,267
CUNY Hunter College,Jonathan Shannon,268
CUNY Hunter College,Christopher Stone,269
CUNY Hunter College,Amber J. Martin,2527
CUNY Hunter College,Deeadra Brown,2529
CUNY Hunter College,Giacomo Bianchino,2530
CUNY Hunter College,Hajara Masood,2531
CUNY Hunter College,Jen Gaboury,2532
CUNY Hunter College,Katherine Wilson,2535
CUNY Hunter College,Nebahat Avcioglu,2536
CUNY Hunter College,Philip R. Hamann,2537
CUNY Hunter College,Robyn Marasco,2538
CUNY Hunter College,Scott Gentile,2539
CUNY Hunter College,Elizabeth Oram,4186
CUNY Hunter College,Fatima Tariq,4187
CUNY Hunter College,CalvinJohn Smiley,4329
CUNY Hunter College,Catherine Raissiguier,4345
CUNY Hunter College,Asa Mendelsohn,4422
CUNY Hunter College,Chris Stone,4559
CUNY John Jay College,Ellen Belcher,270
CUNY John Jay College,Avram Bornstein,271
CUNY John Jay College,Randall LaSalle,272
CUNY John Jay College,John P Pittman,274
CUNY John Jay College,Corinna Mullin,2188
CUNY John Jay College,Alexander Schlutz,2540
CUNY John Jay College,Blanche Wiesen Cook,2541
CUNY John Jay College,Diana Moore,2542
CUNY John Jay College,Helen Kapstein,2543
CUNY John Jay College,Jessica Gordon-Nembhard,2545
CUNY John Jay College,Julio Huato,2546
CUNY John Jay College,Karen Malpede,2547
CUNY John Jay College,Kenn Vance,2548
CUNY John Jay College,Matthew Barry Johnson,2552
CUNY John Jay College,Nicholas Rodrigo,2553
CUNY John Jay College,Taryn Fivek,2554
CUNY John Jay College,Tiffany Wheatland-Disu,2555
CUNY John Jay College,Zhun Xu,2556
CUNY John Jay College,Robert Freeman,2557
CUNY John Jay College,Saad Saad,2558
CUNY John Jay College,Marisa Tramontano,3791
CUNY John Jay College,Edward Kihn,4196
CUNY John Jay College,Britt Munro,4545
CUNY Kingsborough Community College,Anthony Alessandrini,275
CUNY Kingsborough Community College,Lili Shi,2560
CUNY Kingsborough Community College,Dominic Wetzel,2561
CUNY Kingsborough Community College,Meg Kallman Feeley,2562
CUNY Kingsborough Community College,Michelle Billies,2563
CUNY Kingsborough Community College,Sara Rutkowski,2564
CUNY Kingsborough Community College,Stuart Parker,2565
CUNY Kingsborough Community College,Matthew Martin,4191
CUNY LaGuardia Community College,Donald Monaco,2566
CUNY LaGuardia Community College,Jane Holzka,2567
CUNY LaGuardia Community College,Jesse Schwartz,2568
CUNY LaGuardia Community College,Juline Koken,2569
CUNY LaGuardia Community College,Karen Miller,2570
CUNY LaGuardia Community College,Laura Tanenbaum,2571
CUNY LaGuardia Community College,Richard Furlong,2572
CUNY LaGuardia Community College,Alex Pence,3642
CUNY Lehman College,Christa Salamandra,276
CUNY Lehman College,Robyn Spencer-Antoine,277
CUNY Lehman College,Anthony Dest,2573
CUNY Lehman College,Debbie Hamilton,2574
CUNY Lehman College,Dialika Sall,2575
CUNY Lehman College,Elhum Haghighat,2576
CUNY Lehman College,Ezekiel Finkelstein,2577
CUNY Lehman College,Jeannette Graulau,2578
CUNY Lehman College,Jennifer MacKenzie,2579
CUNY Lehman College,Marc Kagan,2580
CUNY Lehman College,Russell Dale,2581
CUNY Lehman College,Sarah Ohmer,2582
CUNY Lehman College,Stuart Chen-Hayes,2583
CUNY Lehman College,Suzie Quarrell,2584
CUNY Lehman College,Tyler T. Schmidt,2586
CUNY Lehman College,Vani Kannan,2587
CUNY Lehman College,Siraj Ahmed,3792
CUNY Lehman College,Alyshia Gálvez,4255
CUNY Lehman College,Amy Larimer,4266
CUNY Medgar Evers College,Travis R. Sweatte,2588
CUNY New York City College of Technology (City Tech),Fouad Bennani,3624
CUNY New York City College of Technology (City Tech),Junior Tidal,3625
CUNY New York City College of Technology (City Tech),Laura Westengard,3626
CUNY New York City College of Technology (City Tech),Stephanie Boyle,3627
CUNY New York City College of Technology (City Tech),Joanna Thompson,3793
CUNY New York City College of Technology (City Tech),Elizabeth Bidwell Goetz,4192
CUNY New York City College of Technology (City Tech),Aydee García,4304
CUNY Queens College,Ammiel Alcalay,278
CUNY Queens College,Andrea Khalil,280
CUNY Queens College,Christopher Winks,282
CUNY Queens College,Grace Davie,2589
CUNY Queens College,Gregory Sholette,2590
CUNY Queens College,Jacqui Cornetta,2591
CUNY Queens College,Jane Guskin,2592
CUNY Queens College,José Miguel Martínez Torrejón,2595
CUNY Queens College,Leila Walker,2597
CUNY Queens College,Patricia Ticiento Clough,2599
CUNY Queens College,Maggie Dickinson,3634
CUNY Queens College,Caroline K. Hong,4339
CUNY Queens College,Chloë Bass,4357
CUNY Queensborough Community College,George Fragopoulos,3687
CUNY Queensborough Community College,Matthew Lau,4409
CUNY School of Labor and Urban Studies,Ellen Dichner ,3688
CUNY School of Labor and Urban Studies,Joel Suarez,3689
CUNY School of Labor and Urban Studies,Sofya Aptekar,3690
CUNY School of Law,Frank E. Deale,2600
CUNY School of Law,Charisa Smith,2601
CUNY School of Law,Erin Tomlinson,2602
CUNY School of Law,Jeena Shah,2603
CUNY School of Law,John Whitlow,2604
CUNY School of Law,"John Whitlow,",2605
CUNY School of Law,Tarek Ismail,2606
CUNY School of Law,Chaumtoli Huq,2607
CUNY School of Law,Natalie M. Chin,2608
CUNY School of Law,Carmen Huertas-Noble,4334
CUNY School of Professional Studies,Emily Brooks,3643
CUNY School of Professional Studies,Devva Kasnitz,3691
CUNY System,Tanya Agathocleous,284
CUNY System,Ammiel Alcalay,285
CUNY System,Anthony Alessandrini,286
CUNY System,Tom Angotti,287
CUNY System,Moustafa Bayoumi,288
CUNY System,Ellen Belcher,289
CUNY System,Avram Bornstein,290
CUNY System,Matt Brim,292
CUNY System,Jacqueline Brown,293
CUNY System,Ashley Dawson,294
CUNY System,Alexander Elinson,295
