University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
Marian University ,"3200 Cold Spring Rd Indianapolis, IN 46222",3200 Cold Spring Rd,,Indianapolis,IN,46222,,39.81744,-86.20424,623,Midwest,Indiana
Maricopa Community Colleges,"2411 W 14th St Tempe, AZ 85281",2411 W 14th St,,Tempe,AZ,85281,,33.41298,-111.97544,528,West,Arizona
Marist College,"3399 North Rd Poughkeepsie, NY 12601",3399 North Rd,,Poughkeepsie,NY,12601,,41.72392,-73.93386,136,Northeast,New York
Marquette University,"1250 W. Wisconsin Ave. Milwaukee, WI 53233",1250 W. Wisconsin Ave.,,Milwaukee,WI,53233,,43.038845,-87.928131,137,Midwest,Wisconsin
Marshall University,"1 John Marshall Dr Huntington, WV 25755",1 John Marshall Dr,,Huntington,WV,25755,,38.422241,-82.429985,515,Northeast,West Virginia
Mary Baldwin University,"101 E Frederick St Staunton, VA 24401",101 E Frederick St,,Staunton,VA,24401,,38.15103,-79.07143,624,South,Virginia
Marygrove College,"8425 W. McNichols Detroit, MI 48221",8425 W. McNichols,,Detroit,MI,48221,,42.41546,-83.15515,138,Midwest,Michigan
Massachusetts College of Liberal Arts,"375 Church St North Adams, MA 01247",375 Church St,,North Adams,MA,01247,,42.69112,-73.10269,561,Northeast,Massachusetts
Massachusetts Institute of Technology,"77 Massachusetts Ave Cambridge, MA 2139",77 Massachusetts Ave,,Cambridge,MA,2139,,42.35903,-71.0934,139,Northeast,Massachusetts
Mayfield College,"35325 Date Palm Dr #101 Cathedral City, CA 92234",35325 Date Palm Dr #101,,Cathedral City,CA,92234,,33.79145,-116.45872,140,West,California
Medical College of Wisconsin ,"8701 W Watertown Plank Rd Wauwatosa, WI 53226",8701 W Watertown Plank Rd,,Wauwatosa,WI,53226,,43.04433,-88.02247,625,Midwest,Wisconsin
Mercer University,"3001 Mercer University Dr Atlanta, GA 30341",3001 Mercer University Dr,,Atlanta,GA,30341,,33.87637,-84.26237,626,South,Georgia
Merrimack College,"315 Turnpike St North Andover, MA 01845",315 Turnpike St,,North Andover,MA,01845,,42.67146,-71.12368,572,Northeast,Massachusetts
Merritt College,"12500 Campus Dr Oakland, CA 94619",12500 Campus Dr,,Oakland,CA,94619,,37.7912,-122.16767,531,West,California
Metropolitan Community College Longview,"2105, 500 SW Longview Rd Lee's Summit, MO 64081","2105, 500 SW Longview Rd",,Lee's Summit,MO,64081,,38.91113,-94.451,375,Midwest,Missouri
Metropolitan State University of Denver,"1201 Fifth Street Denver, CO 80217",1201 Fifth Street,,Denver,CO,80217,,39.742086,-105.010046,141,West,Colorado
Miami University Ohio,"301 S. Campus Ave Oxford, OH 45056",301 S. Campus Ave,,Oxford,OH,45056,,39.50648,-84.73918,142,Midwest,Ohio
